Czas(s), CPU(%), RAM(GB), Wolne miejsce(GB)
0,3.8,11.814576128,471.985573888
1,5.6,11.80936192,471.985573888
2,5.5,11.838550016,471.985573888
3,40.4,11.897683968,471.985639424
4,39.3,11.87383296,471.985614848
5,12.3,11.858763776,471.985483776
6,5.4,11.866177536,471.985483776
7,6.7,11.867369472,471.985483776
8,5.1,11.864276992,471.985483776
9,4.8,11.855519744,471.985487872
10,5.3,11.85841152,471.985487872
11,5.0,11.8580224,471.985487872
12,6.0,11.859337216,471.985491968
13,6.5,11.856826368,471.985491968
14,6.5,11.856551936,471.985487872
15,5.4,11.856556032,471.985487872
16,4.0,11.868372992,471.985487872
17,5.5,11.864305664,471.985487872
18,5.7,11.865939968,471.985487872
19,6.5,11.866779648,471.985487872
20,6.0,11.864346624,471.985487872
21,5.1,11.865419776,471.985487872
22,5.2,11.85890304,471.985487872
23,5.7,11.860836352,471.985487872
24,5.8,11.86097152,471.985487872
25,6.5,11.861450752,471.985487872
26,5.8,11.876552704,471.985487872
27,5.6,11.878346752,471.985487872
28,5.1,11.877412864,471.985487872
29,5.4,11.87713024,471.985487872
30,6.7,11.868807168,471.985487872
31,6.4,11.868524544,471.985487872
32,5.6,11.863703552,471.985487872
33,5.2,11.87069952,471.985487872
34,5.1,11.866058752,471.985487872
35,5.0,11.864367104,471.985487872
36,3.4,11.865563136,471.985487872
37,4.3,11.863732224,471.985487872
38,5.5,11.862204416,471.985487872
39,6.1,11.8807552,471.985487872
40,7.3,11.876929536,471.985487872
41,2.5,11.876569088,471.985487872
42,3.4,11.88069376,471.985487872
43,2.8,11.876466688,471.985487872
44,3.1,11.85724416,471.985487872
45,2.1,11.85677312,471.985487872
46,3.9,11.856330752,471.985487872
47,3.1,11.855040512,471.985487872
48,1.7,11.8569984,471.985487872
49,0.8,11.856973824,471.985487872
50,1.3,11.854848,471.985487872
51,4.3,11.856646144,471.985487872
52,6.1,11.856101376,471.985487872
53,6.5,11.86107392,471.985487872
54,6.0,11.88122624,471.985487872
55,10.0,11.888369664,471.985487872
56,5.0,11.90506496,471.985487872
57,4.7,11.880685568,471.985487872
58,5.3,11.8831104,471.985487872
59,5.8,11.867090944,471.985487872
60,5.8,11.880820736,471.985487872
61,6.3,11.86752512,471.985487872
62,6.2,11.869216768,471.985487872
63,6.5,11.86983936,471.985487872
64,5.7,11.87121152,471.985487872
65,5.5,11.876282368,471.985340416
66,5.6,11.88130816,471.985340416
67,6.1,11.87155968,471.985340416
68,4.6,11.872878592,471.985340416
69,8.2,11.889680384,471.985340416
70,9.4,11.889025024,471.985340416
71,5.8,11.888652288,471.985340416
72,6.1,11.903729664,471.98527488
73,4.6,11.903705088,471.98527488
74,5.8,11.88794368,471.98527488
75,5.2,11.886166016,471.98527488
76,5.0,11.873472512,471.98527488
77,5.2,11.872198656,471.98527488
78,5.6,11.872264192,471.98527488
79,5.4,11.872681984,471.98527488
80,6.7,11.883753472,471.98527488
81,8.0,11.888513024,471.98527488
82,6.5,11.887816704,471.98527488
83,5.1,11.882094592,471.98527488
84,6.1,11.838726144,471.98527488
85,8.4,11.796385792,471.985168384
86,5.6,11.795881984,471.985168384
87,5.9,11.794092032,471.985168384
88,5.6,11.795673088,471.985168384
89,5.3,11.793076224,471.985168384
90,8.8,11.793022976,471.985168384
91,28.8,11.84311296,471.984664576
92,40.9,11.892781056,471.984685056
93,13.6,11.792515072,471.984451584
